,question,answer_aliases,answers,answers_norm,aliases_norm
78,In which country was Ursula Andrews born?,"['ISO 3166-1:CH' 'Svissland' 'Etymology of Switzerland'
 'Confederation Helvetia' 'Swizerland' 'Confederatio Helvetica'
 'Environmental Integrity Group' 'Confoederatio Helvetica' 'Svizra'
 'SWITZERLAND' 'Confédération suisse' 'SwissEnergy' 'Schweitz' 'Švýcarsko'
 'Die Schweiz' 'Schwitzerland' 'Confederation suisse' 'Der Schweiz'
 'Swiss Confederated States' 'Suiza' 'Switz' 'Switzeland' 'Schweiz'
 'Confederation Helvetica' 'Switserland' 'Suisse'
 'Schweizerische Eidgenossenschaft' 'Switzerland information'
 'Confederaziun Svizra' 'Switzer land' 'Switzerland'
 'Land of the Switzers' 'Swiss confederation' 'Confœderatio Helvetica'
 'Swiss' 'Confederation Suisse' 'Confederation of Helvatia'
 'Land of the Swiss' 'Confederaziun svizra' 'Svizzera' 'Swissland'
 'Swizterland' 'Confédération Suisse' 'Confederazione Svizzera'
 'Swiss Confederation']",Switzerland,switzerland,"['iso 31661ch', 'svissland', 'etymology of switzerland', 'confederation helvetia', 'swizerland', 'confederatio helvetica', 'environmental integrity group', 'confoederatio helvetica', 'svizra', 'switzerland', 'confédération suisse', 'swissenergy', 'schweitz', 'švýcarsko', 'die schweiz', 'schwitzerland', 'confederation suisse', 'der schweiz', 'swiss confederated states', 'suiza', 'switz', 'switzeland', 'schweiz', 'confederation helvetica', 'switserland', 'suisse', 'schweizerische eidgenossenschaft', 'switzerland information', 'confederaziun svizra', 'switzer land', 'switzerland', 'land of the switzers', 'swiss confederation', 'confœderatio helvetica', 'swiss', 'confederation suisse', 'confederation of helvatia', 'land of the swiss', 'confederaziun svizra', 'svizzera', 'swissland', 'swizterland', 'confédération suisse', 'confederazione svizzera', 'swiss confederation']"
79,What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,"['Cronkite, Walter Leland, Jr.' 'Old Ironpants' 'Walter Cronkite Jr.'
 ""And that's the way it is"" 'Walter Leland Cronkite, Jr.'
 'Walter conkrite' 'Walter Cronkite' 'Walter L. Cronkite Jr.'
 'Walter Leland Cronkite' 'Walter Conkrite' 'Walter Leland Cronkite Jr.'
 'Walter Kronkite']",And that's the way it is,and thats the way it is,"['cronkite walter leland jr', 'old ironpants', 'walter cronkite jr', 'and thats the way it is', 'walter leland cronkite jr', 'walter conkrite', 'walter cronkite', 'walter l cronkite jr', 'walter leland cronkite', 'walter conkrite', 'walter leland cronkite jr', 'walter kronkite']"
80,Who had a 70s No 1 hit with Let Your Love Flow?,"['Howard Bellamy' 'Bellamy Brothers' 'The Bellamy Brothers'
 'David M. Bellamy' 'David Bellamy (singer)']",Bellamy Brothers,bellamy brothers,"['howard bellamy', 'bellamy brothers', 'the bellamy brothers', 'david m bellamy', 'david bellamy singer']"
81,Which state renewed Mike Tyson's boxing license in 1998?,"['Silver State' 'Nevada, United States' 'Sports in Nevada'
 'Geography of Nevada' 'US-NV' ""Nevada's Southern Boundary 1861-1867""
 'Transportation in Nevada' 'The Sagebrush State' 'NV (state)'
 'Education in Nevada' 'Religion in Nevada' 'Nevadian' '36th State'
 'The Battle Born State' 'Thirty-Sixth State' 'Nev.'
 'Demographics of Nevada' 'Navada' 'Nevada Annulment' 'Nevada, USA'
 'Climate of Nevada' 'Economy of Nevada' 'Thirty-sixth State'
 'State of Nevada' 'Politics of Nevada' 'Nevadan' 'Silver state'
 'Nevada (U.S. state)' 'The Silver State' 'Tikaboo Valley'
 'Nevada (state)' 'Battle Born State' 'Transport in Nevada' 'Nevada']",Nevada,nevada,"['silver state', 'nevada united states', 'sports in nevada', 'geography of nevada', 'usnv', 'nevadas southern boundary 18611867', 'transportation in nevada', 'the sagebrush state', 'nv state', 'education in nevada', 'religion in nevada', 'nevadian', '36th state', 'the battle born state', 'thirtysixth state', 'nev', 'demographics of nevada', 'navada', 'nevada annulment', 'nevada usa', 'climate of nevada', 'economy of nevada', 'thirtysixth state', 'state of nevada', 'politics of nevada', 'nevadan', 'silver state', 'nevada us state', 'the silver state', 'tikaboo valley', 'nevada state', 'battle born state', 'transport in nevada', 'nevada']"
82,Neil Armstrong was a pilot in which war?,"['Corean' 'Koreans (disambiguation)' 'Korean (disambiguation)' 'Koreang'
 'Korean' ""Korea'ng""]",Korean,korean,"['corean', 'koreans disambiguation', 'korean disambiguation', 'koreang', 'korean', 'koreang']"
83,Which English-born US citizen hosted Masterpiece theater?,"['Alastair Cooke' 'Alistar Cooke' 'Alistar Cook' 'Cooke, Alistair'
 'Alfred Alistair Cooke' 'Alistair Cooke']",Alistair Cooke,alistair cooke,"['alastair cooke', 'alistar cooke', 'alistar cook', 'cooke alistair', 'alfred alistair cooke', 'alistair cooke']"
84,Nickelodeon was founded in 1979 by which company?,['Warner Amex'],Warner Amex,warner amex,['warner amex']
85,Which element along with polonium did the Curies discover?,['Radium' 'Radium (Ra)' 'Ra-226' 'Element 88'],Radium,radium,"['radium', 'radium ra', 'ra226', 'element 88']"
86,In The Banana Splits what sort of animal was Snorky?,"['Elephantinely' 'Elephant tusks' 'Rogue Elephant' 'Elephant' '🐘'
 'Elephant hunting' 'Elephantineness' 'Elephant hunter' 'Rogue elephant'
 'Baby elephants' 'Brown elephants' 'ELEPHANT' 'Elephan' 'פיל'
 'Elephant population' 'Elephant evolution' 'Elefonts'
 'Evolution of elephants' 'Elephants' 'Mating elephants' 'Elaphant'
 'Elephant rage' 'Gestation period for elephants' 'Elephant tusk'
 'Sexual behavior of elephants']",Elephant,elephant,"['elephantinely', 'elephant tusks', 'rogue elephant', 'elephant', '', 'elephant hunting', 'elephantineness', 'elephant hunter', 'rogue elephant', 'baby elephants', 'brown elephants', 'elephant', 'elephan', 'פיל', 'elephant population', 'elephant evolution', 'elefonts', 'evolution of elephants', 'elephants', 'mating elephants', 'elaphant', 'elephant rage', 'gestation period for elephants', 'elephant tusk', 'sexual behavior of elephants']"
87,Who had an 80s No 1 hit with Can't Fight This Feeling?,"['REO (album)' 'Alan Gratzer' 'R.E.O. Speedwagon' 'REO Speedwagon'
 'Michael Bryan Murphy' ""Can't Stop Rockin"" 'Reo Speedwagon'
 'R.E.O Speedwagon']",REO Speedwagon,reo speedwagon,"['reo album', 'alan gratzer', 'reo speedwagon', 'reo speedwagon', 'michael bryan murphy', 'cant stop rockin', 'reo speedwagon', 'reo speedwagon']"
88,Which parallel was the truce line in the Korean War?,['38th Parallel' '38th parallel' '38th parallel (disambiguation)'],38th Parallel,38th parallel,"['38th parallel', '38th parallel', '38th parallel disambiguation']"
89,On a computer keyboard which letter is between A and D?,['🅢' 'Ess' 'Ⓢ' 'S (letter)' 'S' '⒮' '🄢' 'Ｓ' 'ⓢ' '🆂' '🅂'],S,s,"['', 'ess', '', 's letter', 's', '', '', 'ｓ', '', '', '']"
90,"Which musical featured the song Flash Bang, Wallop?","['One-half' '.5' '0.5' 'One half' 'Halves' 'Half' 'Halfe' '½'
 '0.5 (number)']",Half,half,"['onehalf', '5', '05', 'one half', 'halves', 'half', 'halfe', '½', '05 number']"
91,What was Hitchcock's first sound movie?,"['Blackmailer' 'Blackmailing' 'Blackmail' 'R v Lawrence and Pomroy'
 'Blackmailed' 'Blackmails' 'Black mail']",Blackmail,blackmail,"['blackmailer', 'blackmailing', 'blackmail', 'r v lawrence and pomroy', 'blackmailed', 'blackmails', 'black mail']"
92,Which newspaper did Jackie Kennedy work for just before her marriage?,"['Washington Times (original)' 'Washington Times-Herald'
 'Washington Times Herald']",Washington Times Herald,washington times herald,"['washington times original', 'washington timesherald', 'washington times herald']"
93,What are the international registration letters of a vehicle from Turkey?,['T.R.' 'T.r.' 'Tr.' 'TR (disambiguation)' 'TR' 'Tr' 'T. R.' 'T R'],TR,tr,"['tr', 'tr', 'tr', 'tr disambiguation', 'tr', 'tr', 't r', 't r']"
94,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,"['The Finer Grain' 'Henry james' 'James, Henry' 'Henry James']",Henry James,henry james,"['the finer grain', 'henry james', 'james henry', 'henry james']"
95,Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,"['Nautilus' 'Nautilid' 'Nautili' 'Nautilidae' 'Eutrephoceratidae'
 'Nautilus (zoology)']",Nautilus,nautilus,"['nautilus', 'nautilid', 'nautili', 'nautilidae', 'eutrephoceratidae', 'nautilus zoology']"
96,What was John Glenn/'s first spacecraft called?,"['Mercury 6' 'Mercury Atlas 6' 'Mercury-Atlas 6' 'Friendship VII'
 'Friendship vii' 'Mercury-Atlas (MA) 6' 'Mercury Friendship 7'
 'Friendship Seven' 'Friendship 7']",Friendship 7,friendship 7,"['mercury 6', 'mercury atlas 6', 'mercuryatlas 6', 'friendship vii', 'friendship vii', 'mercuryatlas ma 6', 'mercury friendship 7', 'friendship seven', 'friendship 7']"
97,Which branch of medicine is concerned with disorders of the blood?,"['Automated hematology' 'Haematological' 'Haematology'
 'Bone Marrow Disease' 'Haematologist' 'Heamatology' 'Blood disorder'
 'Blood disease' 'Hemotoligists' 'Hematology' 'Hematologic'
 'Blood disorders' 'Heamatologic diseases' 'Hematologic agents'
 'Blood Disease' 'Pediatric hematologist' 'Hematologist' 'Hematologists'
 'Cytohematology']",Haematology,haematology,"['automated hematology', 'haematological', 'haematology', 'bone marrow disease', 'haematologist', 'heamatology', 'blood disorder', 'blood disease', 'hemotoligists', 'hematology', 'hematologic', 'blood disorders', 'heamatologic diseases', 'hematologic agents', 'blood disease', 'pediatric hematologist', 'hematologist', 'hematologists', 'cytohematology']"
98,Where was The Iron Triangle?,"['Độc lập - tự do - hạnh phúc' 'Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam'
 '越南社會主義共和國' 'ISO 3166-1:VN' 'SRVN' 'VIETNAM' 'CHXHCN Vietnam'
 'Viet Nam Socialist Repub' 'SRoV' 'S.R. Vietnam' 'Languages of Viet Nam'
 'Communist Vietnam' 'Red Vietnam (modern)' 'Doc lap, tu do, hanh phuc'
 ""People's Republic of Vietnam"" 'VietNam' 'Việtnam'
 'Socialist Republic of Viet Nam' 'Yue Nan' 'Viêtnam'
 'Độc lập, tự do, hạnh phúc' 'SR Vietnam' 'Yuenan' 'Vietman' 'Vietnarm'
 'Viet nam' 'Veitnam' 'Languages of Vietnam' 'Viêt Nam' 'Vietnam'
 'The Socialist Republic of Vietnam' 'Cong Hoa Xa Hoi Chu Nghia Viet Nam'
 'Etymology of Vietnam' 'Socialist Republic of Vietnam'
 'Doc lap - tu do - hanh phuc' 'Cộng hòa Xã hội Chủ nghĩa Việt Nam'
 'Viet-Nam' 'Viet Nam' 'Vjet-Namo' 'Cong hoa Xa hoi Chu nghia Viet Nam'
 'Vietnamese Republic' 'Việt Nam']",Vietnam,vietnam,"['độc lập  tự do  hạnh phúc', 'cộng hòa xã hội chủ nghĩa việt nam', '越南社會主義共和國', 'iso 31661vn', 'srvn', 'vietnam', 'chxhcn vietnam', 'viet nam socialist repub', 'srov', 'sr vietnam', 'languages of viet nam', 'communist vietnam', 'red vietnam modern', 'doc lap tu do hanh phuc', 'peoples republic of vietnam', 'vietnam', 'việtnam', 'socialist republic of viet nam', 'yue nan', 'viêtnam', 'độc lập tự do hạnh phúc', 'sr vietnam', 'yuenan', 'vietman', 'vietnarm', 'viet nam', 'veitnam', 'languages of vietnam', 'viêt nam', 'vietnam', 'the socialist republic of vietnam', 'cong hoa xa hoi chu nghia viet nam', 'etymology of vietnam', 'socialist republic of vietnam', 'doc lap  tu do  hanh phuc', 'cộng hòa xã hội chủ nghĩa việt nam', 'vietnam', 'viet nam', 'vjetnamo', 'cong hoa xa hoi chu nghia viet nam', 'vietnamese republic', 'việt nam']"
99,What is the correct name of laughing gas?,"['Happy gas' 'Hippie crack' 'Nitros' 'Nitrous oxide'
 'ATCvet code QN01AX13' 'Inhaling Nitrous Oxide' 'Nitrous oxide system'
 'Laughy gas' 'Nitrouse oxide' 'Laugh-making gas' 'N₂O' 'Hippy crack'
 'N2O' 'Nitrous Oxide' 'Laughing gas' 'Dinitrogen monoxide'
 'Phlogisticated nitrous air' 'ATC code N01AX13'
 'Effects of nitrous oxide on the body'
 'Recreational use of nitrous oxide' 'Nitrogen(I) oxide' 'N2O-N' 'N2o'
 'N 2 O' 'Laughing Gas' 'Nitroux oxide' 'Dinitrogen Monoxide' 'E942'
 'Nitrus oxide' 'Factitious airs']",Nitrous oxide,nitrous oxide,"['happy gas', 'hippie crack', 'nitros', 'nitrous oxide', 'atcvet code qn01ax13', 'inhaling nitrous oxide', 'nitrous oxide system', 'laughy gas', 'nitrouse oxide', 'laughmaking gas', 'n₂o', 'hippy crack', 'n2o', 'nitrous oxide', 'laughing gas', 'dinitrogen monoxide', 'phlogisticated nitrous air', 'atc code n01ax13', 'effects of nitrous oxide on the body', 'recreational use of nitrous oxide', 'nitrogeni oxide', 'n2on', 'n2o', 'n 2 o', 'laughing gas', 'nitroux oxide', 'dinitrogen monoxide', 'e942', 'nitrus oxide', 'factitious airs']"
100,What is the distance between bases on a little league baseball field?,['60 distance' '60 feet' 'sixty  distance'],60 feet,60 feet,"['60 distance', '60 feet', 'sixty  distance']"
101,How many home runs did baseball great Ty Cobb hit in the three world series in which he played?,['None' 'None (disambiguation)'],None,none,"['none', 'none disambiguation']"
102,"In cross-country bike racing, what do the initials BMX represent?",['Bicycle moto x (cross)'],Bicycle moto x (cross),bicycle moto x cross,['bicycle moto x cross']
103,"After retiring as a player, with what team did baseball great Babe Ruth spend one year as a coach?",['The Brooklyn Dodgers in 1938'],The Brooklyn Dodgers in 1938,the brooklyn dodgers in 1938,['the brooklyn dodgers in 1938']
104,What is the maximum weight permitted for calves in rodeo calf-roping competition?,['350 pounds. The minimum is 200 pounds'],350 pounds. The minimum is 200 pounds,350 pounds the minimum is 200 pounds,['350 pounds the minimum is 200 pounds']
105,What baseball player hit the only home run of his 212-year major league career off his own brother?,"['Joe Nickro in 1976. Nickro, a pitcher with the Houston Astros, hit a four-bagger off his brother Phil, who was pitching fro the Atlanta Braves. Houston won the game, 4-3']","Joe Nickro in 1976. Nickro, a pitcher with the Houston Astros, hit a four-bagger off his brother Phil, who was pitching fro the Atlanta Braves. Houston won the game, 4-3",joe nickro in 1976 nickro a pitcher with the houston astros hit a fourbagger off his brother phil who was pitching fro the atlanta braves houston won the game 43,['joe nickro in 1976 nickro a pitcher with the houston astros hit a fourbagger off his brother phil who was pitching fro the atlanta braves houston won the game 43']
106,Brooks Robinson and Carl Yastrzemski hold the major league baseball record for playing the greatest number of seasons with the same team. How many years did they play-- and with what teams?,"['23 years. Third baseman Robinson played with the Baltimore Orioles from 1955 to 1977; Carl Yastrzemski, outfielder/first baseman, played with the Boston Red Sox from 1961 to 1983']","23 years. Third baseman Robinson played with the Baltimore Orioles from 1955 to 1977; Carl Yastrzemski, outfielder/first baseman, played with the Boston Red Sox from 1961 to 1983",23 years third baseman robinson played with the baltimore orioles from 1955 to 1977 carl yastrzemski outfielderfirst baseman played with the boston red sox from 1961 to 1983,['23 years third baseman robinson played with the baltimore orioles from 1955 to 1977 carl yastrzemski outfielderfirst baseman played with the boston red sox from 1961 to 1983']
107,"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",['At least 6 grams. Silver medals must be at least .925 sterling silver'],At least 6 grams. Silver medals must be at least .925 sterling silver,at least 6 grams silver medals must be at least 925 sterling silver,['at least 6 grams silver medals must be at least 925 sterling silver']
108,Who was the famous great-great-grandfather of San Francisco 49er quarterback Steve Young?,['Mormon leader Brigham Young'],Mormon leader Brigham Young,mormon leader brigham young,['mormon leader brigham young']
109,How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"['Only the Wimbledon trophy is gold; the others--for the U.S. Open, the French Open and the Australian Open--are sliver']","Only the Wimbledon trophy is gold; the others--for the U.S. Open, the French Open and the Australian Open--are sliver",only the wimbledon trophy is gold the othersfor the us open the french open and the australian openare sliver,['only the wimbledon trophy is gold the othersfor the us open the french open and the australian openare sliver']
110,"""What breakfast food gets its name from the German word for """"stirrup""""?""","['New York bagel' 'American bagel' 'Biegel' 'Bagels' 'Beygl' 'The Bagel'
 '“everything” bagel' 'Bagel' 'New York-style bagel' 'Water bagel'
 '%22Everything%22 Bagel' 'Everything bagel' 'Salt bagel' 'BAGELS'
 '%22everything%22 bagel' 'Beigel' 'Bagles' 'New York style bagel'
 'Everything Bagel']",The Bagel,the bagel,"['new york bagel', 'american bagel', 'biegel', 'bagels', 'beygl', 'the bagel', 'everything bagel', 'bagel', 'new yorkstyle bagel', 'water bagel', '22everything22 bagel', 'everything bagel', 'salt bagel', 'bagels', '22everything22 bagel', 'beigel', 'bagles', 'new york style bagel', 'everything bagel']"
111,What popular drink did a Dutch medical professor produce in his laboratory while trying to come up with a blood cleanser that could be sold in drugstores?,"['Mothers ruin' 'List of gins' 'List of gin brands' 'London Dry Gin' 'GIN'
 'Gins' 'Gin']",Gin,gin,"['mothers ruin', 'list of gins', 'list of gin brands', 'london dry gin', 'gin', 'gins', 'gin']"
112,On what vegetable did an ancient Egyptian place his right hand when taking an oath?,['The onion. Its round shape symbolized eternity'],The onion. Its round shape symbolized eternity,the onion its round shape symbolized eternity,['the onion its round shape symbolized eternity']
113,What American city produces most of the egg rolls sold in grocery stores in the United States?,"['Houstonians' 'Houston, Texas' 'The City of Houston' 'Houstan, TX'
 'Houston texas' 'City of Houston' 'Media of Houston' 'Houston city'
 'Houstan, Texas' 'Houston, Texas, USA' 'Ciudadehouston.org'
 'Media in Houston' 'Houston Texas' 'Houston, Texas (redir)'
 'Houston, USA' 'The Energy Capital of the World' 'Houston, United States'
 'Houston, Texas, U.S.A.' 'Houston, Texas, U.S.' 'Houstontx.gov'
 'Houston, TX, USA' 'Houston, US-TX' 'Hoston' 'UN/LOCODE:USHOU'
 'Houston, Texas, United States' 'Houston, Tx' 'Houston' 'Houston, texas'
 'Houston,Texas' 'Houston, Tex.' 'Houstan' 'Houston (TX)' 'Houston TX'
 'Houston,TX' 'City of Houston, Texas' 'Houston, TX'
 'Houston,Texas, United States']",Houston Texas,houston texas,"['houstonians', 'houston texas', 'the city of houston', 'houstan tx', 'houston texas', 'city of houston', 'media of houston', 'houston city', 'houstan texas', 'houston texas usa', 'ciudadehoustonorg', 'media in houston', 'houston texas', 'houston texas redir', 'houston usa', 'the energy capital of the world', 'houston united states', 'houston texas usa', 'houston texas us', 'houstontxgov', 'houston tx usa', 'houston ustx', 'hoston', 'unlocodeushou', 'houston texas united states', 'houston tx', 'houston', 'houston texas', 'houstontexas', 'houston tex', 'houstan', 'houston tx', 'houston tx', 'houstontx', 'city of houston texas', 'houston tx', 'houstontexas united states']"
114,Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,"['Venezuela, where the annual pasta consumption is 27.9 pounds']","Venezuela, where the annual pasta consumption is 27.9 pounds",venezuela where the annual pasta consumption is 279 pounds,['venezuela where the annual pasta consumption is 279 pounds']
115,"When Birdseye introduced the first frozen food in 1930, what did the company call it/",['Frosted food'],Frosted food,frosted food,['frosted food']
116,Which 100-mile long waterway links the Mediterranean and the Red Sea?,"['Suez Canal Zone' 'Suez Channel' 'Suez canal' 'Nile Canal' 'Suez Canal'
 'Suez Canal (Egypt)' ""Egypt's Canal Zone"" 'The suez canal']",Suez Canal,suez canal,"['suez canal zone', 'suez channel', 'suez canal', 'nile canal', 'suez canal', 'suez canal egypt', 'egypts canal zone', 'the suez canal']"
117,In which country is the Aswan Dam?,"['EGY' 'Arab Republic of Egypt' 'A .R . EGYPT'
 'The Arab Republic of Egypt' 'Eygpt' 'Etymology of Egypt' 'مصر' 'Kemmet'
 'Gift of the Nile' 'Arab Republic Of Egypt' 'Names of Egypt' 'Miṣr'
 'A .R . Egypt' 'Eytp' 'National identity of Egyptians'
 ""Jumhuriyat Misr al'Arabiyah"" 'Eypt' 'Egyptian Republic' 'Ejipt'
 'Name of Egypt' 'Egipto' 'Kimet' 'جمهوريّة مصرالعربيّة' 'Egypte'
 'Egypt (name)' 'Egypt' 'جمهورية مصرالعربية' 'A.R. Egypt'
 'Republic of Eygpt' 'Égypte' 'Second Egyptian Republic' 'Egipt'
 'ISO 3166-1:EG' 'Egypt info']",Egypt,egypt,"['egy', 'arab republic of egypt', 'a r  egypt', 'the arab republic of egypt', 'eygpt', 'etymology of egypt', 'مصر', 'kemmet', 'gift of the nile', 'arab republic of egypt', 'names of egypt', 'miṣr', 'a r  egypt', 'eytp', 'national identity of egyptians', 'jumhuriyat misr alarabiyah', 'eypt', 'egyptian republic', 'ejipt', 'name of egypt', 'egipto', 'kimet', 'جمهورية مصرالعربية', 'egypte', 'egypt name', 'egypt', 'جمهورية مصرالعربية', 'ar egypt', 'republic of eygpt', 'égypte', 'second egyptian republic', 'egipt', 'iso 31661eg', 'egypt info']"
118,Where did Idi Amin rule from 1971-1979?,"['Ugandese' 'Ugandans' 'Republic of uganda' 'Ouganda' 'ISO 3166-1:UG'
 'Republic of Uganda' 'People of Uganda' 'Ugandan people' 'Uganda'
 'Ugandan' 'The Republic of Uganda']",Uganda,uganda,"['ugandese', 'ugandans', 'republic of uganda', 'ouganda', 'iso 31661ug', 'republic of uganda', 'people of uganda', 'ugandan people', 'uganda', 'ugandan', 'the republic of uganda']"
119,Which country has the rand as its currency?,"['South africa' ""South Africa's"" 'Southafrica'
 'Third Republic (South Africa)' 'Republiek van Suid-Afrika' ""Sou'frica""
 'Zuid Afrika' 'Zuid-Afrika' 'ISO 3166-1:ZA' 'South-African' 'S Africa'
 'Zuid Africa' 'Mzansi' 'Afrique du sud' 'Zuidafrika' 'Ningizimu Afrika'
 'Capital of South Africa' 'Suid-Afrika' 'South-Africa'
 'Rep. of SOUTH AFRICA' 'The Republic of South Africa' 'Suid Africa'
 'Azania/South Africa' 'S Afr' 'Saffa' 'South African' 'Seth efrika'
 'South Africa' 'Soufrica' 'Republic of south africa' 'South Africaà'
 'The Beloved Country' 'S. Africa' 'Rep. of South Africa' 'South Africans'
 'Republic of South Africa']",South Africa,south africa,"['south africa', 'south africas', 'southafrica', 'third republic south africa', 'republiek van suidafrika', 'soufrica', 'zuid afrika', 'zuidafrika', 'iso 31661za', 'southafrican', 's africa', 'zuid africa', 'mzansi', 'afrique du sud', 'zuidafrika', 'ningizimu afrika', 'capital of south africa', 'suidafrika', 'southafrica', 'rep of south africa', 'the republic of south africa', 'suid africa', 'azaniasouth africa', 's afr', 'saffa', 'south african', 'seth efrika', 'south africa', 'soufrica', 'republic of south africa', 'south africaà', 'the beloved country', 's africa', 'rep of south africa', 'south africans', 'republic of south africa']"
120,What is the former name of the People's Republic of Venin?,"['Dahomey kingdom' 'Dohomey' 'Danhome' 'Dahomey' 'Kingdom of Dahomey'
 'DHY' 'Dahomeyan']",Dohomey,dohomey,"['dahomey kingdom', 'dohomey', 'danhome', 'dahomey', 'kingdom of dahomey', 'dhy', 'dahomeyan']"
121,In which country are Tangier and Casablanca?,"['ISO 3166-1:MA' 'Al-Mamlakah al-Maġribiyya' 'Maroc' 'Royaume du Maroc'
 'Norocco' 'Moraco' 'Sultanate of Fez' 'Etymology of Morocco' 'المغرب'
 'Al-Mamlaka al-Maġribiyya' 'Maroc (disambiguation)' 'Morroco' 'Al-Maġrib'
 'Lmaġrib' 'Sherifian Empire' 'Maroco' 'Name of Morocco' 'Morrocco'
 'Moroccan Kingdom' 'Morocco' 'Morrocan' 'Al-Mamlakah al-Maġribiyah'
 'Moroco' 'Marokko' 'المملكة المغربية' 'Marocko' 'Sultanate of Morocco'
 'Al-Mamlaka al-Maghrebia' 'Kingdom of Morocco']",Morocco,morocco,"['iso 31661ma', 'almamlakah almaġribiyya', 'maroc', 'royaume du maroc', 'norocco', 'moraco', 'sultanate of fez', 'etymology of morocco', 'المغرب', 'almamlaka almaġribiyya', 'maroc disambiguation', 'morroco', 'almaġrib', 'lmaġrib', 'sherifian empire', 'maroco', 'name of morocco', 'morrocco', 'moroccan kingdom', 'morocco', 'morrocan', 'almamlakah almaġribiyah', 'moroco', 'marokko', 'المملكة المغربية', 'marocko', 'sultanate of morocco', 'almamlaka almaghrebia', 'kingdom of morocco']"
122,Who was the Egyptian president who was assassinated in 1981?,['Sadat'],Sadat,sadat,['sadat']
123,Which country was called Upper Volta until 1984?,"['Bourkina-Fasso' 'Maximes, Thoughts and Riddles of the Mossi'
 'Burkina Fasso' 'Burkina' 'Bourkina Faso'
 'Maximes, pensées et devinettes mossi' 'Burkinabè' 'Berkina faso'
 'ISO 3166-1:BF' 'Burkina faso' 'Faso' 'Burkina Fasoan' 'Bourkina Fasso'
 'Burkinafaso' 'Burkino Faso' 'Burkina-Faso' 'Burkina Faso'
 'Burkina Fatso']",Burkina Faso,burkina faso,"['bourkinafasso', 'maximes thoughts and riddles of the mossi', 'burkina fasso', 'burkina', 'bourkina faso', 'maximes pensées et devinettes mossi', 'burkinabè', 'berkina faso', 'iso 31661bf', 'burkina faso', 'faso', 'burkina fasoan', 'bourkina fasso', 'burkinafaso', 'burkino faso', 'burkinafaso', 'burkina faso', 'burkina fatso']"
124,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,"['King Tut' 'Tutanhamon' 'Tutankamun' 'Tutankhamen' 'Nebkheprure'
 'Tut-Anj-Amon' 'King Tutankhamun' 'Tutankhaten' 'Tutankamen' 'King tut'
 'Tutankhaumen' 'Tutenkhamun' ""King Tut's Death"" 'Tut-ankh-amun'
 ""Tutankhamen's Death Mask"" 'Tutankamon' 'Kingtut' 'Tutenkamen'
 'Living Image of Amun' 'Tutankhamum' 'Tutankhamun' 'Come on, Tutan'
 'Tuthankamun' 'Tut Anj Amon' 'Tutankhaton' 'King Tutankhamen'
 'Pharaoh Tutankhamun' 'The Boy King' 'Living Image of Aten' 'Tutankhamon'
 'Tuthankamen' 'Nebkheperure Tutankhamun' 'Tutenkhamen' 'Nebkheperure'
 'Tutankhanum']",Tutankhamen,tutankhamen,"['king tut', 'tutanhamon', 'tutankamun', 'tutankhamen', 'nebkheprure', 'tutanjamon', 'king tutankhamun', 'tutankhaten', 'tutankamen', 'king tut', 'tutankhaumen', 'tutenkhamun', 'king tuts death', 'tutankhamun', 'tutankhamens death mask', 'tutankamon', 'kingtut', 'tutenkamen', 'living image of amun', 'tutankhamum', 'tutankhamun', 'come on tutan', 'tuthankamun', 'tut anj amon', 'tutankhaton', 'king tutankhamen', 'pharaoh tutankhamun', 'the boy king', 'living image of aten', 'tutankhamon', 'tuthankamen', 'nebkheperure tutankhamun', 'tutenkhamen', 'nebkheperure', 'tutankhanum']"
125,Name the East African country which lies on the equator.,"['Kenyan' 'Prehistory of Kenya' 'Kenya-Africa' 'ISO 3166-1:KE'
 'Jamhuri ya Kenya' 'Kenya' 'Republic of Kenya' 'Kenya (disambiguation)'
 'Etymology of Kenya']",Kenya,kenya,"['kenyan', 'prehistory of kenya', 'kenyaafrica', 'iso 31661ke', 'jamhuri ya kenya', 'kenya', 'republic of kenya', 'kenya disambiguation', 'etymology of kenya']"
126,What are the two main arms of the River Nile called?,['Blue Nile and White Nile'],Blue Nile and White Nile,blue nile and white nile,['blue nile and white nile']
